categories,m_13_17,f_13_17,m_18_24,f_18_24,m_25_34,f_25_34,m_35_44,f_35_44,m_45_54,f_45_54,m_55_64,f_55_64,m_65,f_65
Miscellaneous,0.0430726708074535,0.0169006211180124,0.220051552795031,0.100621739130435,0.257944720496895,0.16100248447205,0.0768546583850932,0.0640757763975155,0.019883850931677,0.0175472049689441,0.00655465838509316,0.0060527950310559,0.00565403726708075,0.00379378881987577
Adult,0.04745,0.057,0.2825,0.27685,0.1314,0.116,0.03065,0.02995,0.0089,0.0092,0.0018,0.0016,0.004,0.0027
Devotional,0.0116,0.0023,0.1744,0.0252,0.4824,0.0391,0.1898,0.0099,0.0417,0.0016,0.0125,0.0004,0.0083,0.0008
Education,0.0322388888888889,0.00806666666666667,0.272244444444444,0.0819388888888889,0.270588888888889,0.137766666666667,0.0648777777777778,0.0587833333333333,0.0221444444444444,0.0214388888888889,0.00640555555555556,0.0113111111111111,0.00403333333333333,0.00817777777777778
Book,0.0147,0.0047,0.1883,0.0588,0.3135,0.1173,0.1311,0.0661,0.0434,0.0258,0.0122,0.0083,0.01,0.0058
Photography & Editing,0.0400542600896861,0.0134650224215247,0.293381614349776,0.107073094170404,0.304607623318386,0.0915053811659193,0.0722358744394619,0.0286336322869955,0.0192466367713004,0.0108394618834081,0.00650493273542601,0.00399013452914798,0.00574708520179372,0.0027085201793722
Astrology,0.00515,0.00385,0.0872,0.07145,0.22285,0.24235,0.1286,0.1185,0.04155,0.03855,0.0132,0.0152,0.00745,0.0041
News & Politics,0.05244,0.012,0.29882,0.05126,0.34524,0.06232,0.10496,0.01544,0.0305,0.00544,0.01118,0.00202,0.0068,0.00154
Fashion & Style,0.0310738601823708,0.0133357142857143,0.223626747720365,0.0947358662613981,0.344198328267478,0.120450911854103,0.0873655015197569,0.0365826747720365,0.0189107902735562,0.011176443768997,0.00563525835866261,0.00367082066869301,0.00511823708206688,0.00259589665653495
Food & Drinks,0.0166715151515152,0.00943575757575758,0.128805454545455,0.105670909090909,0.224047878787879,0.256170909090909,0.0724666666666667,0.100431515151515,0.0209909090909091,0.0370321212121212,0.00745272727272727,0.0122939393939394,0.00406969696969697,0.00444121212121212
Entertainment,0.0446049848942598,0.0173791540785499,0.259708459214501,0.0930078549848942,0.317731268882175,0.101439123867069,0.083029003021148,0.0346436555891239,0.0193954682779456,0.0107016616314199,0.00586918429003021,0.00356057401812689,0.00582824773413897,0.00310422960725076
Infotainment,0.0706,0.0170666666666667,0.2986,0.0612,0.355266666666667,0.0503666666666667,0.0947666666666667,0.0139333333333333,0.0190333333333333,0.00316666666666667,0.00476666666666667,0.000966666666666667,0.0072,0.00306666666666667
Events,0.07016,0.0333,0.25608,0.10008,0.2695,0.1133,0.07284,0.03942,0.0142,0.01134,0.0046,0.00374,0.0065,0.00494
Science & Technology,0.0523666666666667,0.00966666666666667,0.2558,0.0448666666666667,0.290044444444444,0.0570222222222222,0.123233333333333,0.0352111111111111,0.0461111111111111,0.0198888888888889,0.0201333333333333,0.0123111111111111,0.0225666666666667,0.0108
Non profits,0.0126,0.0036,0.2122,0.268,0.2383,0.1695,0.0418,0.0225,0.0117,0.0081,0.0067,0.0027,0.0022,0
Health & Fitness,0.0440911392405063,0.0158189873417722,0.238458227848101,0.0815924050632911,0.30860253164557,0.101815189873418,0.097806329113924,0.0455772151898734,0.0256949367088608,0.0166987341772152,0.00796962025316456,0.00583924050632912,0.00630506329113924,0.00373164556962025
Real Estate,0.0566,0.0283,0.17675,0.07395,0.27155,0.1602,0.08775,0.06735,0.02715,0.02395,0.0065,0.0099,0.0058,0.00425
Finance,0.02065,0.010325,0.20315,0.0803,0.30185,0.1693,0.083875,0.05905,0.023925,0.015,0.0137,0.009525,0.006625,0.00285
Family & Parenting,0.0432901960784314,0.0186843137254902,0.148886274509804,0.0914735294117647,0.156501960784314,0.270450980392157,0.0592088235294117,0.140247058823529,0.0176637254901961,0.0282147058823529,0.00605294117647059,0.00923627450980392,0.00519019607843137,0.0048921568627451
Government,0.052775,0.013025,0.3191,0.072925,0.34975,0.06625,0.0759,0.0145,0.0166,0.00405,0.005075,0.0014,0.00595,0.0026
People & Culture,0.0524379310344828,0.0172689655172414,0.273358620689655,0.0781103448275862,0.318589655172414,0.078048275862069,0.0952793103448276,0.0304896551724138,0.0232103448275862,0.0113275862068966,0.00696551724137931,0.00432068965517241,0.00678275862068966,0.00380344827586207
Reviews,0.0419142857142857,0.0157,0.163242857142857,0.0920571428571428,0.237985714285714,0.211957142857143,0.0857,0.0766285714285714,0.0237,0.0264285714285714,0.00658571428571429,0.00884285714285714,0.00502857142857143,0.00431428571428571
Kids & Animation,0.0370272727272727,0.0181,0.173309090909091,0.0947545454545455,0.169472727272727,0.2914,0.0517363636363636,0.110109090909091,0.0131454545454545,0.0208363636363636,0.00432727272727273,0.00748181818181818,0.00435454545454545,0.00393636363636364
Beauty,0.0300843541944075,0.0148051930758988,0.182813581890812,0.11672516644474,0.270942876165113,0.188900133155792,0.0740537283621838,0.0669800266311585,0.0172701065246338,0.0180677097203728,0.00540539280958723,0.00571364846870838,0.00478229027962717,0.00345825565912117
Films,0.0354666666666667,0.00893333333333334,0.319366666666667,0.0474,0.385966666666667,0.0661666666666667,0.0853666666666667,0.0212,0.0137666666666667,0.00443333333333333,0.00333333333333333,0.0012,0.00516666666666667,0.00223333333333333
Electronics,0.0207,0.0017,0.2587,0.026,0.4583,0.0627,0.1212,0.0197,0.0191,0.0046,0.0029,0.0009,0.003,0.0005
Gaming,0.0790071428571428,0.0162571428571429,0.36065,0.0639357142857143,0.29635,0.0522142857142857,0.0686357142857143,0.0155214285714286,0.0213,0.00567857142857143,0.00644285714285714,0.00247857142857143,0.00868571428571429,0.00282142857142857
Animation,0.0126,0.0042,0.2611,0.0316,0.5537,0.0189,0.08,0.0042,0.0189,0,0.0084,0.0021,0.0042,0
Defence,0.0814333333333333,0.0307666666666667,0.1979,0.0655,0.388366666666667,0.0708666666666667,0.108733333333333,0.0214333333333333,0.0176666666666667,0.003,0.00443333333333333,0.00163333333333333,0.0046,0.00363333333333333
Sports,0.0707307692307692,0.0125692307692308,0.312284615384615,0.0506846153846154,0.295553846153846,0.0487,0.109453846153846,0.0225153846153846,0.0386615384615385,0.00835384615384615,0.0146307692307692,0.00316923076923077,0.00992307692307692,0.00281538461538461
Religious Content,0.049,0.0114,0.247725,0.057975,0.32635,0.07705,0.127475,0.033425,0.034225,0.011275,0.0099,0.004475,0.006625,0.00315
Travel & Leisure,0.0286409638554217,0.010533734939759,0.188224096385542,0.0728626506024096,0.344702409638554,0.141838554216867,0.101998795180723,0.049855421686747,0.0247204819277108,0.0146843373493976,0.00771686746987952,0.00536144578313253,0.00569036144578313,0.00316746987951807
Agriculture & Allied Sectors,0.00968333333333333,0.00633333333333333,0.0701,0.0572166666666667,0.167483333333333,0.250083333333333,0.0834,0.164883333333333,0.0352333333333333,0.0751,0.0187833333333333,0.03725,0.0102333333333333,0.0142666666666667
Vloging,0.038680303030303,0.0160260330578512,0.203850688705234,0.0915615702479338,0.269892837465565,0.169549035812672,0.0759019283746556,0.0763373278236914,0.0188610192837466,0.0189318181818182,0.00586735537190082,0.00597121212121212,0.00514710743801652,0.00342424242424242
Motivational,0.0395,0.0113964285714286,0.270339285714286,0.067875,0.313335714285714,0.084925,0.0947928571428571,0.0389214285714286,0.0297928571428571,0.0196785714285714,0.00946071428571429,0.00814642857142857,0.00714642857142857,0.00467857142857143
Blogs and Travel,0.10785,0.0275,0.34765,0.0985,0.21425,0.06735,0.05895,0.0264,0.01935,0.01075,0.00705,0.0037,0.0079,0.0028
Pets & Animals,0.0806333333333333,0.0295666666666667,0.2265,0.0813,0.212066666666667,0.113366666666667,0.0701666666666667,0.0694,0.0287666666666667,0.0430666666666667,0.0112333333333333,0.0181666666666667,0.00766666666666667,0.00806666666666667
Music,0.0490523809523809,0.0199761904761905,0.265902380952381,0.102135714285714,0.300680952380952,0.100378571428571,0.0813261904761905,0.0318928571428571,0.0204047619047619,0.00992142857142857,0.00568333333333333,0.00337619047619048,0.00611428571428572,0.00320714285714286
Missing,0.0672594660751166,0.0217182131109921,0.295312193069685,0.0950836839287078,0.27239827124608,0.0969310793237971,0.0700280042836378,0.0334805629924272,0.0175769066013921,0.0106204696703129,0.00547813814732651,0.00371012774420561,0.00583914174252277,0.00325952726994568
Comedy,0.05555,0.0174,0.315773076923077,0.0899730769230769,0.303357692307692,0.0786,0.0683807692307692,0.0263307692307692,0.0179038461538462,0.00890769230769231,0.0056,0.00333076923076923,0.00614230769230769,0.00275769230769231
DIY,0.0278526315789474,0.0178947368421053,0.182347368421053,0.130910526315789,0.226157894736842,0.207573684210526,0.0609894736842105,0.0823526315789474,0.0171210526315789,0.0247684210526316,0.00553684210526316,0.00780526315789474,0.00398947368421053,0.0046578947368421
IT & ITES,0.00405,0.0014,0.2124,0.09375,0.3618,0.1718,0.0793,0.039,0.01705,0.00865,0.00335,0.0018,0.0039,0.0018
